acidity,sugar,alcohol,pH,sulphates,quality,quality_label
3.42,3.1,9.37,3.36,0.504,7,good
3.81,9.03,8.88,4.09,0.768,8,good
7.49,1.8,14.74,3.71,0.489,7,good
6.03,15.06,8.76,2.93,0.632,8,good
3.05,18.44,11.35,4.13,0.428,8,good
3.51,6.32,12.1,3.16,0.364,8,good
6.32,17.31,11.79,3.27,0.329,8,good
3.03,6.55,8.6,3.36,0.453,8,good
3.8,18.3,8.4,2.87,0.379,8,good
5.74,15.33,8.74,3.5,0.387,8,good
6.46,16.29,12.1,2.97,0.68,8,good
6.26,1.34,11.81,3.36,0.308,6,bad
4.12,19.29,9.64,3.29,0.579,8,good
6.56,14.81,12.46,3.88,0.49,8,good
4.19,6.79,13.74,3.92,0.553,8,good
4.63,16.76,8.29,3.01,0.581,8,good
6.73,6.35,11.49,3.31,0.457,8,good
6.25,17.58,12.83,3.32,0.448,8,good
7.25,3.14,9.77,3.01,0.667,7,good
6.29,14.37,10.15,3.92,0.736,8,good
5.84,11.27,12.3,3.79,0.396,8,good
3.47,2.83,14.29,3.07,0.349,8,good
4.84,5.6,13.67,3.31,0.749,8,good
4.33,1.24,12.08,2.95,0.475,8,good
4.22,9.91,13.11,3.68,0.576,8,good
7.87,6.72,10.55,2.97,0.48,8,good
4.97,12.37,12.49,4.18,0.363,8,good
7.46,6.65,11.26,3.89,0.595,8,good
6.16,6.7,9.33,3.35,0.563,8,good
6.97,15.12,12.91,3.61,0.401,8,good
5.51,1.91,11.9,4.08,0.526,8,good
5.88,18.16,10.51,3.58,0.698,8,good
5.46,17.19,14.38,3.04,0.595,8,good
3.98,13.69,8.15,3.33,0.348,8,good
6.61,12.27,10.21,3.98,0.574,8,good
4.4,17.95,8.4,3.7,0.651,8,good
3.12,4.52,13.37,3.71,0.696,8,good
6.23,2.5,12.91,4.01,0.615,7,good
3.89,5.55,10.32,4.05,0.376,8,good
7.7,16.1,12.73,4.09,0.655,8,good
7.77,1.66,10.77,2.93,0.639,6,bad
7.57,12.07,13.29,3.56,0.312,8,good
4.85,19.91,11.18,3.84,0.506,8,good
3.08,17.26,10.89,3.86,0.466,8,good
7.64,10.91,14.54,3.65,0.635,8,good
5.14,2.21,9.76,3.03,0.408,8,good
7.83,16.8,8.84,3.92,0.595,8,good
7.82,12.38,12.09,3.81,0.757,8,good
7.27,3.18,14.79,2.92,0.699,8,good
4.47,2.78,10.64,3.45,0.761,8,good
4.93,18.28,8.43,3.04,0.789,8,good
7.26,13.71,10.38,3.27,0.305,8,good
4.58,16.76,11.54,2.83,0.611,8,good
3.85,17.7,9.13,3.36,0.506,8,good
5.78,11.86,12.61,3.57,0.73,8,good
7.68,10.83,14.98,3.67,0.426,8,good
6.48,9.18,11.16,3.73,0.791,8,good
5.85,7.02,10.48,3.97,0.607,8,good
3.49,9.26,10.8,3.1,0.697,8,good
6.08,15.7,8.81,2.97,0.343,8,good
7.95,12.44,14.18,3.99,0.392,8,good
3.7,17.96,10.9,3.02,0.679,8,good
5.59,9.42,10.71,4.16,0.311,8,good
7.39,12.53,12.62,3.98,0.708,8,good
6.7,12.99,11.09,3.5,0.307,8,good
6.49,12.24,12.54,4.17,0.629,8,good
6.51,14.35,8.43,2.94,0.483,8,good
4.8,5.51,13.7,3.22,0.606,8,good
4.47,10.73,14.58,3.69,0.648,8,good
7.05,2.98,12.54,3.29,0.471,7,good
7.05,8.31,14.68,4.1,0.354,8,good
7.34,10.27,9.06,2.89,0.335,8,good
7.57,13.39,11.34,3.57,0.594,8,good
5.56,19.06,12.21,3.63,0.56,8,good
5.51,12.41,12.07,3.71,0.671,8,good
6.99,15.13,10.81,3.16,0.555,8,good
6.25,10.62,10.37,3.31,0.511,8,good
6.51,13.05,8.89,3.98,0.499,8,good
6.98,2.35,10.74,3.07,0.313,7,good
7.45,5.83,9.14,3.96,0.468,4,bad
4.69,7.88,13.14,3.59,0.788,8,good
4.88,9.98,9.46,3.87,0.737,8,good
3.47,1.87,8.41,3.8,0.465,7,good
5.89,3.66,11.87,3.09,0.594,8,good
3.18,6.26,12.17,3.6,0.724,8,good
5.33,19.46,14.1,4.01,0.521,8,good
5.71,7.3,12.04,3.4,0.309,8,good
4.43,10.16,10.42,4.15,0.337,8,good
5.95,4.73,13.62,3.43,0.555,8,good
3.15,12.6,11.78,3.0,0.785,8,good
3.19,6.33,8.55,3.35,0.647,8,good
7.11,4.93,11.96,4.13,0.335,8,good
4.8,10.81,14.36,3.25,0.395,8,good
3.64,1.1,10.77,4.02,0.686,8,good
5.61,1.15,10.07,4.03,0.721,8,good
6.85,5.16,9.0,3.29,0.609,8,good
4.08,1.7,9.06,2.92,0.622,8,good
6.11,3.05,11.03,3.81,0.314,8,good
3.43,7.44,12.17,3.24,0.714,8,good
3.26,16.25,8.56,3.9,0.694,8,good
5.66,11.87,14.58,3.42,0.43,8,good
5.7,10.74,13.29,3.48,0.654,8,good
6.19,6.58,12.11,3.89,0.407,8,good
6.63,18.7,13.8,3.34,0.32,8,good
7.88,8.54,8.56,3.42,0.401,7,good
5.58,2.65,11.34,3.33,0.389,8,good
4.61,12.72,12.41,3.31,0.469,8,good
6.98,3.16,13.8,3.54,0.509,8,good
4.35,7.56,13.48,3.93,0.554,8,good
5.19,10.64,9.94,3.31,0.538,8,good
3.39,17.61,14.59,3.53,0.435,8,good
3.13,10.38,8.87,3.74,0.315,8,good
7.81,14.34,14.13,3.18,0.603,8,good
7.18,19.86,14.8,3.19,0.498,8,good
6.48,3.5,9.24,4.11,0.449,7,good
5.04,6.22,13.05,3.81,0.733,8,good
3.87,8.5,8.28,3.61,0.673,7,good
3.78,9.01,10.84,3.71,0.729,8,good
4.25,8.81,11.61,2.84,0.547,8,good
5.75,18.24,12.06,3.67,0.365,8,good
6.57,14.57,14.55,3.51,0.648,8,good
6.3,12.55,12.71,3.56,0.403,8,good
4.4,6.88,11.37,3.3,0.521,8,good
7.77,16.65,13.67,2.91,0.333,8,good
6.69,19.15,14.65,3.07,0.713,8,good
5.77,16.6,8.15,4.13,0.363,8,good
6.06,1.03,14.88,3.37,0.752,8,good
5.1,13.09,8.6,3.45,0.732,8,good
4.24,1.97,13.7,2.87,0.532,8,good
4.78,5.89,9.96,2.85,0.672,8,good
6.79,2.13,8.93,3.8,0.61,4,bad
3.07,12.47,11.08,3.55,0.702,8,good
3.58,14.05,12.51,3.51,0.516,8,good
3.23,3.18,10.67,3.14,0.693,8,good
3.2,8.29,8.38,3.84,0.531,8,good
7.28,9.67,12.2,3.04,0.77,8,good
6.52,8.01,14.32,3.07,0.543,8,good
5.37,3.3,10.68,3.44,0.531,8,good
3.49,8.96,9.51,3.2,0.693,8,good
5.46,15.27,11.1,3.15,0.711,8,good
5.37,2.35,8.34,3.7,0.577,6,bad
3.87,2.52,13.74,3.71,0.39,8,good
5.17,7.74,13.78,3.95,0.534,8,good
4.99,18.89,12.12,3.38,0.784,8,good
6.08,13.7,10.47,2.9,0.676,8,good
6.18,13.89,13.6,3.18,0.706,8,good
3.23,7.88,11.88,4.17,0.316,8,good
4.87,12.28,13.78,3.63,0.534,8,good
6.13,1.19,12.42,3.79,0.623,8,good
5.52,13.09,13.49,2.81,0.715,8,good
7.28,18.35,12.19,3.53,0.325,8,good
6.29,12.64,10.9,2.85,0.726,8,good
3.81,17.6,14.71,3.6,0.574,8,good
3.35,14.76,11.79,4.09,0.399,8,good
6.21,3.29,12.24,4.16,0.459,8,good
3.13,18.15,9.54,3.56,0.441,8,good
5.93,2.26,12.38,3.44,0.565,8,good
7.7,11.15,12.0,4.12,0.326,8,good
5.88,3.7,9.29,3.74,0.379,7,good
4.94,1.22,8.42,2.89,0.706,6,bad
6.22,9.02,12.23,3.45,0.366,8,good
5.29,6.61,13.35,3.14,0.417,8,good
5.73,10.23,11.66,3.46,0.527,8,good
7.71,11.97,9.59,3.44,0.559,7,good
4.93,1.83,12.67,3.62,0.682,8,good
7.81,3.34,8.56,3.3,0.524,7,good
7.53,11.61,11.09,3.03,0.695,8,good
3.98,7.52,9.14,3.51,0.609,8,good
3.35,14.85,9.29,3.96,0.357,8,good
3.5,13.39,9.42,3.73,0.378,8,good
3.09,17.07,10.71,3.27,0.519,8,good
3.47,14.16,8.36,4.11,0.498,8,good
6.42,9.17,10.78,4.08,0.672,8,good
3.36,13.79,11.58,3.09,0.59,8,good
4.59,6.23,11.38,2.86,0.494,8,good
7.22,6.82,10.68,3.84,0.385,8,good
3.12,15.99,13.87,3.96,0.413,8,good
7.07,9.48,9.02,4.16,0.588,7,good
4.41,16.17,11.54,4.05,0.512,8,good
3.59,16.63,8.43,3.64,0.557,8,good
6.48,17.29,8.5,3.54,0.385,8,good
6.14,18.42,12.02,2.84,0.631,8,good
7.39,9.19,11.96,3.15,0.726,6,bad
6.68,7.06,14.15,3.44,0.429,8,good
7.02,12.06,11.91,3.68,0.546,8,good
4.41,8.05,14.72,3.58,0.788,8,good
3.89,12.42,8.34,3.84,0.467,8,good
6.75,14.41,8.69,3.19,0.598,8,good
7.03,14.08,8.31,3.59,0.345,7,good
7.95,8.12,9.3,2.92,0.603,7,good
5.06,4.17,11.79,3.38,0.345,8,good
4.86,9.18,12.52,3.85,0.78,8,good
6.88,3.71,8.32,3.77,0.658,8,good
4.7,17.91,14.62,4.19,0.694,8,good
7.65,7.57,13.9,3.19,0.652,8,good
7.29,3.93,10.08,3.5,0.595,8,good
5.14,1.48,8.54,3.26,0.525,7,good
6.75,13.27,9.19,3.42,0.729,8,good
6.77,13.1,8.89,4.0,0.778,8,good
3.52,7.47,8.86,3.76,0.55,8,good
7.51,2.36,11.63,4.04,0.766,7,good
5.53,8.78,9.72,3.08,0.592,8,good
7.13,6.91,10.51,4.02,0.569,8,good
4.6,13.87,14.93,2.88,0.527,8,good
7.48,12.51,12.79,4.04,0.405,8,good
4.95,7.93,14.64,3.26,0.302,8,good
3.05,5.14,9.0,3.24,0.421,8,good
7.53,19.77,10.67,3.52,0.555,8,good
3.46,9.63,11.88,4.12,0.49,8,good
4.6,14.08,8.54,2.87,0.524,8,good
7.75,3.67,8.03,3.29,0.79,8,good
7.75,10.23,12.69,4.0,0.475,8,good
5.87,1.52,12.49,3.35,0.526,7,good
6.16,10.6,10.88,3.08,0.367,8,good
5.24,19.32,11.43,3.39,0.324,8,good
4.47,8.3,10.91,3.34,0.688,8,good
4.64,1.74,8.17,4.08,0.585,7,good
6.36,1.59,10.35,3.87,0.68,6,bad
6.76,8.37,9.24,3.51,0.375,8,good
6.96,4.04,8.69,4.18,0.586,5,bad
6.95,1.44,14.7,3.45,0.427,7,good
3.46,15.37,12.2,2.88,0.414,8,good
5.47,9.71,13.1,3.17,0.306,8,good
3.29,6.5,10.21,3.41,0.365,8,good
5.75,18.1,10.75,3.02,0.455,8,good
5.21,3.21,9.66,4.13,0.358,7,good
7.44,19.16,8.68,3.87,0.793,8,good
4.75,6.97,9.25,3.18,0.454,8,good
3.59,17.88,13.58,3.63,0.365,8,good
3.71,12.46,12.74,3.81,0.4,8,good
6.81,16.71,11.83,4.12,0.594,8,good
6.09,19.7,11.33,4.03,0.332,8,good
3.51,6.48,14.46,3.52,0.731,8,good
3.42,19.26,8.51,3.88,0.781,8,good
6.5,8.4,9.96,3.59,0.423,8,good
3.36,8.32,10.45,3.57,0.525,8,good
7.11,7.47,13.48,2.96,0.311,8,good
6.53,11.29,14.95,2.98,0.62,8,good
3.41,3.93,9.68,3.54,0.507,8,good
3.42,11.52,14.12,3.18,0.435,8,good
7.93,11.29,13.81,2.83,0.403,8,good
4.87,15.48,9.57,3.81,0.627,8,good
4.85,16.84,10.8,2.85,0.508,8,good
7.06,9.37,10.87,3.63,0.39,7,good
7.74,6.74,14.85,3.55,0.645,8,good
7.93,5.93,9.27,4.16,0.583,7,good
6.77,4.7,13.59,3.48,0.729,8,good
4.88,2.1,10.34,2.89,0.359,8,good
3.42,7.51,13.12,3.57,0.693,8,good
6.89,6.13,10.94,3.98,0.637,7,good
5.79,19.36,12.05,4.2,0.358,8,good
5.12,11.6,13.83,3.4,0.647,8,good
7.53,7.6,13.63,3.25,0.521,8,good
3.56,12.03,14.06,4.07,0.772,8,good
5.46,3.64,8.42,3.07,0.371,8,good
3.06,9.44,12.84,3.66,0.621,8,good
5.34,12.9,8.98,3.37,0.491,8,good
3.28,10.29,10.91,2.86,0.778,8,good
3.59,8.63,11.84,3.29,0.465,8,good
3.59,19.88,10.82,3.17,0.781,8,good
6.25,17.73,11.64,3.76,0.751,8,good
6.73,12.84,14.98,4.13,0.435,8,good
5.92,11.82,8.95,3.18,0.702,8,good
7.81,12.79,12.73,3.94,0.798,8,good
4.87,4.82,10.77,2.88,0.426,8,good
4.43,8.51,8.93,3.55,0.518,8,good
7.34,1.75,9.11,2.9,0.56,6,bad
4.12,10.04,14.64,4.11,0.447,8,good
7.82,11.32,14.16,3.87,0.308,8,good
3.06,5.33,14.35,3.72,0.41,8,good
7.85,19.32,14.94,3.95,0.441,8,good
3.22,18.28,9.46,3.71,0.522,8,good
7.46,14.72,10.49,4.16,0.386,8,good
5.64,11.13,12.68,3.8,0.737,8,good
7.96,17.53,11.39,4.09,0.652,8,good
3.37,3.48,10.93,3.52,0.343,8,good
5.77,16.02,10.5,2.96,0.625,8,good
7.85,3.37,12.16,3.54,0.627,8,good
5.62,16.09,12.03,2.98,0.778,8,good
6.15,6.24,9.13,3.63,0.302,8,good
6.48,17.66,11.3,3.48,0.424,8,good
5.27,18.94,11.87,3.67,0.764,8,good
6.14,3.83,11.99,2.81,0.766,8,good
5.92,9.79,9.47,3.07,0.66,8,good
7.51,19.64,13.2,3.49,0.683,8,good
3.23,10.18,8.18,4.13,0.346,8,good
4.4,17.41,10.48,3.34,0.557,8,good
7.75,12.19,13.46,3.39,0.416,8,good
7.45,8.13,11.95,3.8,0.391,8,good
5.28,6.43,9.83,3.65,0.705,8,good
6.1,4.86,12.86,3.22,0.368,8,good
4.39,15.47,11.97,3.38,0.534,8,good
3.94,8.34,13.57,3.1,0.769,8,good
5.32,10.71,13.15,4.15,0.393,8,good
4.77,10.35,12.27,2.98,0.789,8,good
5.92,11.97,11.42,3.32,0.797,8,good
3.39,17.45,8.93,2.84,0.578,8,good
7.87,19.63,9.83,3.11,0.385,8,good
7.93,8.74,10.93,3.89,0.458,8,good
6.49,16.72,12.2,3.08,0.512,8,good
5.68,15.53,11.6,2.91,0.455,8,good
4.55,11.9,10.02,3.46,0.44,8,good
7.07,19.16,8.05,2.81,0.786,8,good
6.42,4.81,11.47,2.92,0.377,8,good
3.81,3.08,10.0,3.93,0.667,6,bad
7.55,17.23,13.14,3.88,0.3,8,good
7.11,9.34,8.17,4.08,0.598,6,bad
7.75,17.09,12.09,4.0,0.758,8,good
6.63,17.97,14.59,3.76,0.444,8,good
6.07,2.19,9.22,2.87,0.393,6,bad
5.09,17.79,11.3,3.9,0.626,8,good
7.66,9.52,8.64,3.98,0.656,7,good
7.33,10.7,12.38,3.92,0.644,8,good
3.23,12.91,11.85,3.51,0.46,8,good
3.13,18.6,10.85,3.13,0.426,8,good
4.88,1.36,11.65,3.98,0.778,8,good
7.05,10.06,14.28,3.82,0.762,8,good
7.94,14.07,9.37,4.17,0.529,8,good
3.75,14.73,8.16,3.02,0.723,8,good
5.97,14.16,14.03,3.12,0.526,8,good
4.9,3.55,12.04,3.1,0.512,8,good
7.85,6.69,14.23,3.91,0.378,8,good
7.21,7.82,12.18,3.06,0.513,8,good
7.19,16.28,13.67,2.89,0.569,8,good
5.34,6.3,11.01,4.2,0.311,8,good
5.07,5.0,13.25,2.83,0.522,8,good
4.37,19.19,14.39,3.97,0.691,8,good
3.28,1.17,12.0,3.31,0.64,7,good
7.32,19.96,9.27,3.98,0.618,8,good
7.06,13.86,9.88,3.58,0.755,8,good
8.0,16.74,9.39,4.06,0.309,8,good
7.98,6.6,9.73,4.1,0.579,7,good
5.78,1.27,10.14,2.81,0.694,7,good
6.84,15.02,11.89,2.91,0.571,8,good
7.72,16.85,12.12,3.15,0.462,8,good
7.25,15.07,10.99,3.74,0.368,8,good
4.24,3.71,12.31,4.04,0.744,8,good
5.25,15.32,8.57,3.44,0.535,8,good
3.65,15.61,8.61,3.65,0.739,8,good
7.77,13.51,9.2,3.06,0.593,8,good
6.03,15.56,11.63,3.93,0.637,8,good
4.14,17.07,9.5,4.15,0.702,8,good
6.36,12.66,9.98,3.18,0.63,8,good
6.09,2.68,10.8,3.49,0.499,8,good
4.79,10.26,13.68,2.92,0.557,8,good
3.57,2.48,8.1,3.58,0.702,8,good
6.36,8.74,12.55,3.5,0.487,8,good
5.6,8.74,12.68,3.0,0.494,8,good
6.86,2.25,13.59,3.42,0.348,8,good
5.6,7.63,14.53,3.27,0.757,8,good
7.26,3.11,8.14,3.53,0.346,6,bad
5.76,16.36,9.08,3.62,0.624,8,good
5.8,19.01,14.2,2.81,0.507,8,good
7.38,2.37,11.21,3.87,0.503,6,bad
5.02,19.15,11.95,3.8,0.64,8,good
3.67,10.93,12.64,3.31,0.334,8,good
3.14,6.69,12.75,2.87,0.597,8,good
6.78,2.46,14.52,3.86,0.686,8,good
6.1,10.51,14.98,4.14,0.714,8,good
6.52,16.1,13.04,3.14,0.385,8,good
4.06,14.43,10.01,3.25,0.749,8,good
3.68,1.95,14.16,3.06,0.628,8,good
3.07,2.39,8.34,3.61,0.741,6,bad
4.75,8.65,9.62,3.02,0.543,8,good
5.95,6.61,14.28,3.3,0.571,8,good
4.96,5.42,9.79,3.78,0.76,8,good
5.19,6.34,9.54,3.58,0.75,8,good
7.52,16.27,8.97,3.34,0.524,8,good
4.74,18.66,14.01,3.39,0.437,8,good
5.57,8.7,11.5,3.59,0.497,8,good
6.92,18.22,12.72,2.81,0.494,8,good
4.98,7.11,9.67,2.91,0.443,8,good
6.11,10.05,13.31,4.03,0.434,8,good
7.31,5.29,13.32,2.91,0.731,8,good
7.75,13.17,10.19,3.79,0.335,8,good
3.74,19.6,10.87,4.09,0.639,8,good
7.63,12.47,9.47,3.18,0.386,8,good
5.46,7.8,14.84,3.32,0.472,8,good
