ItemID,Category,Price,Popularity
136,Sports,35.5,0.8842064633484078
137,Electronics,44.24,0.17477344282737717
138,Electronics,59.17,0.8398613028667203
139,Electronics,48.11,0.2748060355481361
140,Books,23.33,0.8511742608527708
141,Clothing,44.4,0.14970396795695773
142,Clothing,46.55,0.15298380082856267
143,Electronics,45.46,0.21673980009077565
144,Electronics,40.73,0.17844596522777212
145,Sports,61.09,0.54669741271407
146,Clothing,74.57,0.2568838476457148
147,Sports,31.69,0.9877855202148873
148,Books,120.28,0.5970469168956917
149,Clothing,16.15,0.7175977656581762
150,Electronics,12.72,0.01582109176558244
151,Home,40.24,0.3372271327554204
152,Sports,60.46,0.0794193689889866
153,Sports,19.1,0.3549963058319373
154,Home,23.2,0.4424099364806695
155,Home,37.22,0.8800790875614583
156,Clothing,15.21,0.6801319311034514
157,Home,18.42,0.6694869551981901
158,Home,17.87,0.6618391898493786
159,Electronics,32.91,0.3335695494722004
160,Home,35.05,0.08876739410776846
161,Sports,43.35,0.20093368865905648
162,Clothing,20.9,0.09667644964671962
163,Electronics,10.3,0.11982900201764635
164,Books,25.8,0.15241601333041743
165,Sports,51.04,0.24365671606386663
166,Sports,48.52,0.09292914437938993
167,Clothing,40.96,0.6084864126597913
168,Home,39.17,0.7820280876703859
169,Clothing,23.55,0.3809095255109872
170,Clothing,18.41,0.9369578230310628
171,Electronics,63.75,0.2797035384714792
172,Clothing,33.77,0.6005943333606173
173,Books,39.75,0.5665753621714186
174,Home,66.76,0.2085105143573358
175,Electronics,34.5,0.3806232934765801
176,Clothing,31.52,0.8680566901074503
177,Books,23.71,0.08091928305125218
178,Sports,54.38,0.022893824976120247
179,Books,19.72,0.9756102008599149
180,Clothing,63.85,0.822480563634361
181,Electronics,12.37,0.6063709444333756
182,Electronics,29.69,0.6062529377509774
183,Sports,38.22,0.8252007674155681
184,Sports,31.26,0.36753442229153144
185,Sports,34.07,0.96582216115322
186,Home,43.16,0.3118161330852596
187,Home,20.7,0.6408263146902062
188,Sports,30.81,0.01768780961325722
189,Clothing,20.42,0.06134962711066816
190,Books,40.8,0.19178245559186058
191,Electronics,35.67,0.9836789252634136
192,Books,27.98,0.1706647585499984
193,Sports,27.56,0.10104581101064669
194,Home,23.26,0.618051674287186
195,Home,15.38,0.6238958362916385
196,Home,52.26,0.8480158852494014
197,Clothing,16.72,0.3677593508772896
198,Home,29.6,0.4816348465348623
199,Sports,40.82,0.24858025771494208
200,Books,31.47,0.4185806216239353
