UserID,Age,Region
268,25,North
269,33,North
270,22,South
271,58,North
272,35,West
273,26,West
274,37,West
275,33,West
276,32,East
277,28,South
278,28,South
279,16,South
280,51,East
281,41,East
282,38,East
283,33,East
284,23,North
285,25,North
286,17,South
287,27,North
288,22,West
289,55,West
290,45,South
291,35,East
292,24,East
293,22,South
294,32,South
295,46,South
296,57,West
297,18,North
298,41,North
299,27,North
300,29,South
301,35,South
302,25,West
303,32,West
304,24,West
305,28,North
306,44,East
307,36,East
308,44,South
309,27,South
310,41,South
311,15,North
312,35,East
313,42,North
314,15,South
315,27,South
316,35,North
317,47,South
318,28,East
319,41,South
320,52,South
321,41,West
322,32,West
323,39,West
324,27,North
325,36,East
326,33,West
327,39,North
328,30,North
329,39,East
330,29,East
331,45,South
332,31,West
333,10,South
334,22,South
335,35,North
336,55,West
337,44,West
338,8,East
339,17,North
340,48,West
341,42,West
342,62,West
343,29,North
344,24,East
345,35,West
346,29,West
347,47,North
348,28,West
349,31,West
350,23,North
351,44,East
352,23,East
353,39,South
354,57,South
355,13,South
356,52,West
357,38,East
358,21,East
359,36,East
360,43,West
361,25,East
362,40,East
363,54,West
364,28,West
365,23,West
366,33,West
367,35,East
368,48,South
369,33,West
370,29,North
371,22,East
372,15,West
373,19,East
374,19,South
375,31,North
376,16,North
377,2,West
378,34,South
379,57,North
380,48,East
381,31,North
382,21,West
383,65,North
384,35,East
385,37,North
386,33,North
387,34,East
388,28,North
389,31,East
390,53,South
391,49,North
392,10,North
393,18,East
394,25,South
395,46,North
396,50,North
397,43,North
398,21,North
399,28,East
400,40,North
401,32,East
402,30,West
403,30,East
404,48,North
405,42,North
406,31,North
407,38,South
408,19,West
409,28,South
410,47,South
411,16,East
412,42,South
413,10,South
414,55,West
415,28,West
416,39,South
417,36,South
418,36,North
419,38,East
420,14,South
421,37,West
422,32,East
423,28,North
424,25,West
425,37,South
426,23,East
427,47,North
428,40,North
429,38,East
430,46,East
431,12,East
432,19,North
433,41,North
434,26,East
435,27,South
436,18,South
437,23,East
438,47,South
439,40,East
440,37,North
441,28,South
442,36,East
443,48,North
444,26,North
445,34,East
446,56,South
447,43,West
448,28,East
449,42,South
450,16,North
451,34,North
452,42,East
453,39,West
454,42,East
455,45,North
456,40,South
457,40,North
458,37,East
459,22,West
460,47,West
461,34,West
462,43,West
463,46,North
464,28,East
465,29,North
466,31,East
467,50,North
468,24,South
469,52,South
470,37,East
471,38,North
472,45,North
473,35,West
474,47,West
475,28,South
476,51,East
477,29,South
478,52,East
479,29,South
480,31,South
481,22,North
482,25,North
483,34,South
484,37,East
485,46,West
486,32,South
487,21,West
488,39,North
489,36,East
490,40,East
491,27,North
492,28,North
493,27,North
494,49,West
495,52,East
496,28,North
497,28,North
498,42,East
499,53,North
500,56,West
