CustomerID,Age,AnnualIncome,SpendingScore
CUST_0266,31,87.5,27.3
CUST_0226,56,37.8,24.2
CUST_0141,41,63.1,56.5
CUST_0019,18,20.7,85.7
CUST_0182,49,32.6,16.2
CUST_0097,21,81.6,74.2
CUST_0133,52,57.8,50.5
CUST_0263,32,90.8,40.8
CUST_0087,28,93.1,88.1
CUST_0249,32,89.4,25.5
CUST_0246,34,98.6,33.4
CUST_0117,18,87.2,79.9
CUST_0147,47,62.9,45.9
CUST_0293,38,82.0,37.5
CUST_0198,53,45.8,32.3
CUST_0207,45,32.1,18.3
CUST_0056,25,22.4,85.8
CUST_0173,37,47.9,49.5
CUST_0185,43,43.3,15.0
CUST_0168,44,66.1,50.3
CUST_0140,41,59.6,40.3
CUST_0254,26,79.8,38.3
CUST_0039,18,20.0,71.7
CUST_0126,43,70.9,40.0
CUST_0196,53,41.0,14.6
CUST_0284,35,87.1,37.3
CUST_0138,46,49.0,48.7
CUST_0113,25,75.3,86.0
CUST_0169,46,55.8,51.8
CUST_0118,26,82.5,78.0
CUST_0278,36,97.1,31.6
CUST_0272,28,86.5,24.4
CUST_0156,43,53.7,55.3
CUST_0177,53,64.6,44.0
CUST_0179,51,84.6,57.0
CUST_0003,23,15.0,89.8
CUST_0116,28,74.5,73.0
CUST_0144,42,59.3,53.9
CUST_0178,46,62.5,47.3
CUST_0121,48,76.5,49.1
CUST_0211,55,26.5,17.5
CUST_0261,26,97.5,31.4
CUST_0128,45,65.5,42.4
CUST_0075,26,67.8,89.1
CUST_0030,19,24.1,82.1
CUST_0084,30,71.8,94.6
CUST_0270,28,82.8,44.1
CUST_0108,20,84.7,70.1
CUST_0224,66,28.0,10.1
CUST_0159,44,55.6,50.7
CUST_0281,32,85.9,47.7
CUST_0247,35,96.7,32.0
CUST_0223,58,37.9,15.1
CUST_0066,29,77.3,80.8
CUST_0199,57,43.8,26.5
CUST_0086,20,70.0,71.5
CUST_0214,54,36.6,24.3
CUST_0160,51,50.4,55.3
CUST_0013,21,19.7,72.6
CUST_0036,18,15.0,75.0
CUST_0029,18,15.8,83.7
CUST_0143,34,43.5,40.2
CUST_0285,41,86.4,34.8
CUST_0255,40,81.4,39.9
CUST_0171,49,57.8,54.5
CUST_0052,18,19.8,74.3
CUST_0096,29,83.7,79.0
CUST_0209,46,40.4,25.0
CUST_0248,37,93.7,47.2
CUST_0042,21,16.6,85.5
CUST_0090,44,81.0,84.4
CUST_0245,36,94.5,31.2
CUST_0137,49,73.0,42.7
CUST_0027,18,27.3,71.3
CUST_0294,40,83.9,38.2
CUST_0142,42,59.7,63.4
CUST_0201,56,33.7,25.1
CUST_0001,22,16.2,85.5
CUST_0269,32,100.0,34.6
CUST_0273,30,101.6,20.3
CUST_0101,37,80.9,74.2
CUST_0260,40,90.2,34.4
CUST_0256,37,98.4,26.0
CUST_0172,39,41.6,38.4
CUST_0099,23,80.6,82.9
CUST_0037,21,22.4,93.1
CUST_0062,21,79.1,76.1
CUST_0151,41,59.5,51.9
CUST_0237,54,40.1,20.8
CUST_0203,59,55.1,16.3
CUST_0243,28,93.0,22.1
CUST_0012,18,32.3,80.5
CUST_0297,31,102.4,28.8
CUST_0268,31,86.2,32.3
CUST_0028,22,22.6,70.8
CUST_0220,61,29.6,18.7
CUST_0005,19,26.5,84.1
CUST_0123,44,58.0,38.8
CUST_0033,20,15.0,75.2
CUST_0205,61,52.7,11.4
CUST_0163,45,54.4,45.4
CUST_0210,53,48.8,23.1
CUST_0286,31,101.6,42.9
CUST_0139,56,46.4,43.9
CUST_0063,20,84.0,85.2
CUST_0136,41,60.6,53.8
CUST_0129,45,68.5,61.8
CUST_0291,39,79.2,35.7
CUST_0009,18,22.9,80.7
CUST_0071,23,69.9,78.5
CUST_0265,38,86.5,25.7
CUST_0065,24,70.4,79.9
CUST_0045,18,18.7,86.7
CUST_0280,39,98.5,38.3
CUST_0157,36,59.1,53.5
CUST_0041,24,15.0,73.2
CUST_0124,47,67.8,51.4
CUST_0276,48,78.1,42.6
CUST_0217,56,46.6,22.3
CUST_0154,54,64.0,43.6
CUST_0024,18,15.9,81.3
CUST_0262,29,85.9,19.4
CUST_0111,21,78.3,82.2
CUST_0082,28,79.5,84.2
CUST_0208,50,39.0,17.4
CUST_0213,57,38.7,12.4
CUST_0040,21,18.1,84.6
CUST_0241,37,91.4,29.7
CUST_0292,32,82.7,33.6
CUST_0259,43,90.2,26.1
CUST_0200,53,41.8,28.9
CUST_0015,18,15.0,73.6
CUST_0048,25,21.4,93.3
CUST_0095,23,72.1,86.8
CUST_0264,35,86.3,42.6
CUST_0228,51,39.6,32.3
CUST_0274,40,91.6,24.9
CUST_0202,65,43.8,12.1
CUST_0162,42,60.3,53.8
CUST_0044,18,15.0,74.3
CUST_0218,59,40.6,11.2
CUST_0146,46,65.4,46.6
CUST_0191,55,45.2,28.7
CUST_0221,57,37.3,16.3
CUST_0252,30,91.7,26.1
CUST_0004,28,15.0,70.2
CUST_0106,30,64.4,81.6
CUST_0054,23,39.7,82.4
CUST_0134,50,65.7,44.0
CUST_0002,19,18.5,73.6
CUST_0132,47,43.7,60.4
CUST_0104,18,70.1,76.5
CUST_0050,18,19.4,74.7
CUST_0081,27,72.6,80.7
CUST_0206,53,35.9,25.0
CUST_0035,24,16.9,82.1
CUST_0092,31,68.5,73.7
CUST_0053,18,20.5,79.5
CUST_0242,26,79.3,34.7
CUST_0014,18,32.5,83.3
CUST_0089,28,76.5,84.4
CUST_0167,40,64.9,38.6
CUST_0295,38,89.7,39.7
CUST_0135,56,72.0,60.7
CUST_0288,44,85.8,27.5
CUST_0244,39,94.9,32.7
CUST_0055,25,18.5,81.9
CUST_0051,22,15.0,73.8
CUST_0175,47,73.2,45.4
CUST_0190,52,52.0,27.6
CUST_0299,35,97.9,38.4
CUST_0188,54,30.0,30.5
CUST_0170,48,55.4,43.7
CUST_0059,22,29.1,78.1
CUST_0049,22,22.1,78.3
CUST_0236,52,40.5,27.7
CUST_0253,37,92.2,25.5
CUST_0022,19,22.9,89.1
CUST_0161,37,75.7,38.3
CUST_0277,37,92.1,26.4
CUST_0192,54,39.6,5.5
CUST_0258,40,95.5,33.3
CUST_0150,42,51.5,44.2
CUST_0131,45,50.5,49.9
CUST_0152,47,67.6,49.6
CUST_0100,25,76.9,76.1
CUST_0088,28,68.6,85.5
CUST_0215,59,31.9,24.2
CUST_0122,53,74.0,43.3
CUST_0300,38,88.3,24.3
CUST_0021,27,18.2,81.6
CUST_0189,57,25.8,1.4
CUST_0072,29,87.3,87.7
CUST_0107,25,78.8,69.9
CUST_0271,30,88.5,28.8
CUST_0103,28,92.7,81.7
