Age,Department,DistanceFromHome,Education,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsAtCompany,YearsSinceLastPromotion,Attrition
46,Sales,15.6,3,2,36600,4,No,18.2,3,2.6,0.4,No
40,Sales,5.4,2,3,29100,5,No,10.1,2,1.3,5.3,No
59,Research & Development,16.7,4,3,49700,3,No,17.2,3,13.0,4.3,No
41,Human Resources,21.3,2,2,30300,1,No,10.2,4,14.0,6.3,No
50,Sales,11.2,3,4,28600,3,No,8.5,3,2.7,2.6,No
44,Sales,6.7,3,4,39400,2,No,22.9,2,21.6,1.0,No
44,Sales,9.4,1,1,23400,1,No,16.2,3,2.4,3.3,No
44,Research & Development,12.8,1,2,82600,4,Yes,13.7,3,5.2,1.1,Yes
47,Research & Development,12.7,2,3,49700,3,Yes,8.4,3,8.5,2.6,No
35,Sales,8.8,2,3,61100,0,No,23.7,2,8.4,4.0,No
26,Research & Development,0.5,4,3,44000,5,No,9.7,3,6.8,7.6,No
24,Research & Development,4.6,2,4,38200,0,No,16.8,3,8.6,6.9,No
23,Sales,6.1,3,3,30200,4,No,10.6,4,1.9,3.2,No
49,Research & Development,0.0,2,4,65100,3,No,16.1,4,3.3,2.7,No
26,Research & Development,20.6,4,3,52900,4,No,13.4,1,4.1,1.0,No
35,Research & Development,11.5,4,2,42000,2,Yes,23.2,3,3.1,1.3,No
39,Sales,9.1,3,4,33400,2,No,16.7,4,2.7,0.4,No
35,Research & Development,15.8,4,4,35200,0,No,24.6,4,2.9,0.3,Yes
46,Research & Development,4.2,3,3,78900,3,No,15.5,4,8.3,0.9,No
41,Sales,5.3,2,2,51800,6,No,22.9,3,6.8,2.4,No
53,Research & Development,32.0,4,3,38600,1,No,13.1,3,20.4,0.2,No
49,Research & Development,13.7,3,4,50700,1,Yes,8.2,4,2.5,0.1,No
28,Research & Development,5.8,1,4,47200,0,No,9.8,3,8.9,0.9,No
41,Sales,2.0,4,2,23000,5,No,9.3,3,2.2,0.4,No
56,Human Resources,10.2,4,4,20000,1,No,20.0,3,5.4,1.2,No
23,Research & Development,17.8,2,2,39900,5,No,9.6,2,25.6,2.6,Yes
25,Sales,9.6,1,2,44000,2,No,12.0,4,12.6,0.6,No
44,Research & Development,2.1,4,4,41200,2,No,22.4,3,4.2,2.9,No
58,Human Resources,8.7,1,4,33800,2,No,13.9,1,6.1,2.8,No
35,Research & Development,1.6,3,1,55400,3,Yes,13.3,4,0.2,0.0,Yes
41,Sales,0.2,4,4,40000,1,Yes,14.4,4,0.1,0.0,Yes
57,Research & Development,11.2,2,2,90200,6,No,10.9,3,2.9,0.2,Yes
40,Sales,4.6,1,3,28200,4,No,19.3,4,10.0,4.2,No
25,Research & Development,24.7,3,3,42500,1,No,13.6,4,2.2,5.5,No
54,Sales,10.4,1,4,28400,0,Yes,9.4,3,2.1,1.2,No
33,Sales,6.9,3,3,37400,2,No,17.3,2,1.8,0.1,No
26,Human Resources,7.2,2,4,30700,2,No,14.2,2,6.6,0.7,No
52,Sales,41.8,1,2,58600,2,Yes,23.1,3,0.8,0.0,No
50,Sales,3.7,2,3,29700,1,No,12.6,4,2.8,2.6,No
54,Research & Development,8.8,4,3,35400,1,No,8.4,3,1.6,1.4,No
58,Research & Development,4.2,4,1,92500,1,No,21.6,1,0.6,0.0,Yes
43,Research & Development,19.0,2,4,50600,1,Yes,22.6,4,0.4,0.0,No
42,Research & Development,11.0,2,4,41600,4,No,8.9,4,4.3,7.6,No
26,Sales,8.7,1,3,46700,1,No,14.2,4,0.7,0.0,No
35,Research & Development,3.2,3,2,99000,4,No,15.0,3,1.3,3.3,No
44,Sales,6.4,2,4,27600,0,No,13.4,3,8.2,10.6,No
41,Sales,4.1,2,3,36300,2,Yes,17.4,2,3.4,5.3,No
56,Research & Development,1.5,2,4,39800,3,Yes,10.9,3,4.3,0.7,No
59,Sales,9.8,2,4,34000,3,No,20.0,2,7.4,0.7,No
29,Research & Development,6.4,3,3,27900,3,Yes,22.9,4,2.8,0.8,No
49,Research & Development,5.4,1,3,37900,1,No,9.4,4,12.1,0.9,No
44,Research & Development,2.9,3,3,55400,3,Yes,8.4,4,1.4,2.1,No
44,Research & Development,8.5,1,3,35500,4,Yes,16.8,4,0.2,0.0,No
55,Research & Development,4.9,4,4,38600,1,Yes,10.9,3,2.0,2.0,No
46,Research & Development,15.6,3,4,43700,1,No,18.7,2,1.0,0.0,No
41,Research & Development,0.9,2,3,45800,2,No,19.2,1,8.5,0.6,No
36,Sales,21.2,4,4,56200,6,No,23.0,4,8.2,0.4,No
55,Research & Development,10.1,3,3,58200,5,Yes,20.6,2,2.4,1.4,No
51,Research & Development,5.5,3,1,57800,3,No,11.4,3,15.4,0.0,No
29,Sales,4.4,3,3,50700,4,No,10.8,3,5.7,3.6,No
54,Human Resources,52.1,3,3,30600,1,No,9.1,3,3.6,0.5,No
43,Sales,0.1,1,4,28900,5,No,10.0,3,0.9,0.0,No
42,Research & Development,6.1,3,3,32400,1,Yes,12.0,2,0.7,0.0,No
51,Sales,13.2,4,3,40900,3,Yes,8.0,2,1.7,1.1,No
59,Research & Development,4.7,3,3,27400,4,Yes,16.8,4,9.1,2.1,No
29,Research & Development,7.4,3,1,23900,0,No,13.2,3,3.0,8.5,Yes
59,Human Resources,26.9,2,2,20600,4,No,9.8,3,2.5,3.8,No
36,Research & Development,6.9,3,1,41900,2,Yes,13.3,2,1.0,0.7,Yes
26,Research & Development,18.2,2,1,58400,2,No,10.7,3,8.1,6.1,No
56,Sales,17.2,2,3,25800,4,Yes,13.2,3,1.3,0.9,No
38,Research & Development,11.0,4,3,54600,3,No,9.7,3,0.6,0.0,No
49,Research & Development,17.1,3,2,35000,5,No,11.6,3,6.5,10.5,No
49,Research & Development,0.6,4,3,23200,1,No,13.9,4,2.8,7.1,No
51,Research & Development,6.0,4,1,34800,1,Yes,23.4,4,7.5,6.2,No
22,Research & Development,65.4,4,3,45400,0,Yes,10.1,1,10.8,0.6,No
49,Human Resources,9.2,4,4,35500,4,Yes,22.1,3,5.8,1.5,No
53,Sales,25.3,2,1,20000,4,No,10.9,3,0.4,0.0,Yes
49,Research & Development,2.5,2,3,31200,0,No,8.1,3,1.1,2.2,No
53,Sales,0.3,2,4,25500,2,Yes,19.0,3,12.6,1.0,No
57,Human Resources,28.7,3,3,23400,0,No,9.4,3,5.2,5.4,No
56,Research & Development,29.8,2,4,26800,4,No,13.7,3,2.9,2.0,No
27,Research & Development,19.2,3,3,59500,5,Yes,9.8,3,15.4,6.9,No
41,Research & Development,43.6,1,1,35300,4,No,19.5,2,16.2,2.6,No
47,Sales,5.6,2,4,55100,3,No,19.2,1,2.8,0.6,No
59,Research & Development,9.4,3,4,31700,2,Yes,24.9,4,3.6,0.0,No
49,Research & Development,8.1,2,4,37400,2,No,24.2,1,11.7,1.2,No
32,Research & Development,6.1,4,3,41300,3,No,18.0,3,1.6,1.1,No
55,Research & Development,4.3,4,3,55100,3,Yes,18.1,4,23.3,2.9,No
57,Human Resources,14.1,4,2,22300,5,No,12.0,3,25.2,9.4,No
29,Research & Development,0.0,2,4,57400,3,Yes,17.9,2,4.3,6.3,No
28,Sales,12.6,1,3,59900,2,No,20.8,4,6.2,4.2,No
49,Sales,19.5,3,1,26700,0,Yes,22.4,3,2.0,2.0,No
41,Human Resources,1.0,2,3,20000,3,No,17.6,3,1.0,1.1,No
31,Sales,1.8,3,3,21200,2,No,24.9,2,5.1,0.5,No
52,Research & Development,13.3,4,1,24500,4,No,9.9,3,38.4,5.6,No
47,Research & Development,22.7,2,4,41700,3,Yes,24.9,4,5.2,4.0,No
37,Research & Development,11.0,3,2,40400,2,Yes,15.7,1,5.0,8.8,No
55,Research & Development,1.2,3,4,33200,2,No,12.8,2,3.1,1.6,No
36,Sales,0.9,4,2,20400,2,No,14.9,3,1.1,6.5,No
45,Research & Development,4.4,4,2,31400,4,No,18.2,2,7.5,4.0,No
44,Research & Development,1.3,2,3,29500,1,Yes,12.1,4,10.5,2.7,No
22,Human Resources,11.4,4,4,30900,3,No,15.3,3,0.6,0.0,No
58,Human Resources,3.4,4,3,43500,1,No,9.0,2,6.9,0.5,No
22,Human Resources,7.3,3,2,21800,1,Yes,17.0,3,2.2,4.3,No
42,Research & Development,14.6,3,4,48600,5,No,23.4,4,11.2,0.7,No
31,Sales,26.2,4,3,74400,1,Yes,18.3,3,0.9,0.0,No
51,Research & Development,3.3,4,3,27400,1,No,15.1,3,5.6,0.2,No
29,Sales,12.3,2,2,28300,0,No,11.1,4,6.3,5.3,Yes
31,Sales,5.0,2,4,36200,2,No,23.7,3,6.9,1.7,No
37,Research & Development,1.4,3,2,35000,3,No,13.1,2,0.7,0.0,No
43,Human Resources,1.4,1,4,26400,4,No,20.4,3,24.0,1.6,No
53,Research & Development,48.6,3,3,65300,3,No,22.0,3,2.3,1.7,No
57,Research & Development,8.1,2,2,62900,6,No,20.7,3,2.5,3.1,No
30,Human Resources,15.6,2,3,42900,2,No,18.7,2,0.1,0.0,No
25,Research & Development,27.4,2,3,50200,4,Yes,8.7,2,7.3,4.8,No
53,Research & Development,1.2,3,4,22200,3,No,10.2,4,5.8,4.2,No
27,Sales,3.6,4,4,20000,3,No,16.8,4,1.4,0.8,No
45,Sales,11.1,3,2,35500,3,No,15.7,3,4.8,0.5,Yes
43,Human Resources,7.5,2,3,44000,2,No,19.4,2,6.0,3.9,No
59,Research & Development,3.3,2,2,37900,2,No,16.4,3,3.1,3.4,No
48,Sales,8.7,3,4,34200,2,Yes,19.1,2,9.6,9.0,No
57,Research & Development,8.1,3,3,49900,1,Yes,20.7,2,24.8,1.1,No
24,Research & Development,2.4,2,3,58900,1,No,9.8,4,8.3,3.0,No
33,Human Resources,10.4,2,2,44000,3,No,12.1,4,2.5,6.8,Yes
38,Human Resources,1.4,4,2,20000,2,No,14.5,4,23.5,3.8,No
44,Research & Development,9.4,2,4,48700,0,Yes,22.4,3,5.5,1.1,No
24,Human Resources,20.3,3,3,32100,1,No,19.5,3,5.3,1.9,No
44,Research & Development,1.6,4,4,46400,2,Yes,18.8,1,6.6,2.6,No
56,Research & Development,20.0,4,2,31300,2,Yes,12.4,3,0.4,0.0,No
47,Research & Development,1.9,2,3,32600,5,No,17.9,2,5.2,2.7,No
57,Sales,11.6,3,3,33500,2,Yes,22.9,4,0.4,0.0,Yes
48,Sales,14.5,2,3,25100,3,No,18.9,3,0.0,0.0,No
29,Research & Development,36.3,3,2,43600,4,Yes,10.0,3,9.1,3.3,No
24,Research & Development,14.8,3,3,35500,3,No,15.0,2,0.8,0.0,No
43,Research & Development,2.5,3,3,20000,0,No,9.5,4,5.4,7.8,No
46,Sales,10.6,1,3,38700,3,Yes,14.8,2,8.9,2.0,No
48,Human Resources,13.8,1,3,26600,0,No,10.6,3,4.2,0.4,No
37,Sales,5.0,1,3,24000,2,No,16.2,3,7.1,7.4,No
30,Sales,1.7,3,2,30900,3,Yes,22.7,3,0.5,0.0,No
32,Sales,15.8,2,4,41300,4,No,12.3,1,1.0,2.1,No
28,Research & Development,20.0,2,3,46100,1,No,19.5,3,2.4,4.6,No
34,Sales,8.9,2,3,42200,2,No,17.5,1,1.2,0.1,No
40,Research & Development,5.1,4,4,40800,1,No,11.8,3,0.2,0.0,No
52,Research & Development,1.6,2,3,82700,3,No,23.3,3,0.2,0.0,No
49,Research & Development,4.4,3,2,80500,2,No,10.8,3,7.0,2.7,Yes
57,Sales,1.8,4,2,32600,3,Yes,16.4,2,0.7,0.0,No
44,Research & Development,0.6,2,4,45300,3,Yes,23.8,3,3.2,1.3,No
49,Sales,0.7,1,3,57800,3,No,10.4,2,8.5,4.7,No
24,Sales,3.6,3,4,94800,3,No,8.5,3,6.7,1.7,No
53,Research & Development,16.4,4,3,52900,1,No,14.6,3,19.5,0.4,No
32,Research & Development,1.1,3,2,45000,4,No,18.1,3,6.3,8.0,No
58,Research & Development,3.1,2,3,26700,3,No,18.0,3,9.8,1.6,No
45,Sales,16.5,3,1,33700,2,No,11.3,4,0.9,0.0,No
35,Sales,12.4,3,4,60000,1,No,17.9,3,2.8,4.6,No
58,Sales,8.5,3,2,27300,4,No,21.5,3,4.0,1.0,Yes
59,Research & Development,32.0,4,4,42600,1,Yes,12.5,2,2.6,0.4,No
33,Human Resources,4.2,4,4,37300,1,Yes,8.6,4,10.8,1.0,No
50,Sales,12.3,2,4,31200,1,No,24.6,2,5.1,0.6,No
46,Research & Development,16.1,1,4,49500,2,No,17.2,3,6.2,3.1,No
57,Sales,26.9,4,3,20000,2,No,11.5,4,5.4,3.1,No
24,Research & Development,14.4,2,4,38400,5,No,18.6,2,0.6,0.0,No
40,Sales,15.8,2,1,46500,0,No,13.1,3,2.6,1.0,No
42,Research & Development,9.5,4,1,41600,3,Yes,22.7,3,3.1,1.3,No
36,Sales,7.6,3,1,31600,3,No,10.1,4,2.8,1.4,No
35,Research & Development,12.0,3,4,26900,2,No,24.1,3,1.3,3.8,No
32,Sales,2.7,3,2,31900,1,No,23.3,4,0.1,0.0,No
59,Research & Development,7.4,2,3,40200,2,No,18.1,1,5.3,5.2,No
24,Human Resources,1.6,1,4,51100,3,Yes,15.6,4,0.3,0.0,No
22,Research & Development,8.8,3,4,47400,2,Yes,9.0,3,4.5,1.9,No
27,Research & Development,6.4,1,4,75000,2,No,12.0,2,2.2,1.9,No
29,Human Resources,16.7,4,3,30800,2,No,13.2,3,12.6,2.1,No
42,Research & Development,19.8,4,4,44200,0,No,9.0,3,4.2,2.5,No
23,Research & Development,5.6,1,2,29300,3,No,14.7,4,6.0,2.0,Yes
32,Research & Development,20.3,2,4,54800,2,Yes,14.0,3,1.7,1.4,No
23,Research & Development,27.8,3,3,52000,3,Yes,13.8,1,3.0,1.3,No
31,Sales,4.1,2,3,58200,4,No,15.4,3,3.6,2.6,No
26,Human Resources,1.1,3,1,20000,2,No,14.2,3,17.0,5.4,No
54,Research & Development,17.3,3,4,28400,2,No,19.2,1,1.7,0.1,No
34,Sales,3.3,2,4,37000,1,No,19.4,3,8.0,1.3,Yes
26,Sales,20.9,3,3,27400,0,No,22.0,2,10.8,0.1,No
43,Human Resources,1.3,2,4,20000,0,Yes,21.2,3,0.0,0.0,No
26,Sales,3.7,1,3,29800,3,Yes,16.9,3,10.0,1.0,No
56,Sales,19.9,2,3,23200,2,No,14.8,2,1.7,17.4,No
50,Human Resources,1.9,3,2,34400,2,No,17.1,3,1.8,0.3,No
45,Human Resources,11.1,2,1,32800,2,No,21.6,3,2.4,2.3,No
43,Research & Development,5.5,3,4,42100,3,No,9.5,4,2.8,2.9,No
55,Research & Development,5.3,1,3,53300,4,No,8.8,3,6.9,4.0,No
40,Research & Development,0.3,2,2,47100,3,Yes,9.0,3,9.0,1.5,No
24,Research & Development,1.7,4,2,64900,2,No,10.8,4,5.2,9.1,Yes
57,Sales,4.8,2,1,31700,3,No,9.3,3,11.8,2.9,No
57,Research & Development,7.1,2,4,32900,2,No,23.1,3,5.8,3.4,No
51,Research & Development,7.4,3,1,33500,1,No,9.2,2,1.7,1.6,No
57,Human Resources,10.5,2,4,28400,3,No,12.3,1,0.7,0.0,No
49,Human Resources,12.2,2,2,25200,5,No,24.2,3,0.1,0.0,No
43,Research & Development,36.2,4,3,39900,3,Yes,23.2,3,0.7,0.0,No
35,Research & Development,10.8,1,4,44200,1,Yes,19.4,3,8.4,1.2,No
28,Sales,18.0,2,4,49800,4,Yes,15.9,2,0.4,0.0,No
49,Research & Development,4.1,4,3,38600,2,No,16.0,3,4.9,2.3,No
39,Research & Development,4.4,4,3,22500,6,No,9.2,3,1.8,1.1,No
32,Sales,16.2,3,3,48500,4,No,23.9,4,2.8,2.0,No
23,Research & Development,12.3,2,1,26400,1,No,11.7,3,3.8,1.1,No
53,Sales,15.1,1,4,22300,2,No,10.0,4,5.5,2.2,No
58,Research & Development,26.4,4,4,60600,1,Yes,12.9,4,3.3,1.6,No
44,Research & Development,20.4,3,4,32900,2,No,14.3,3,4.4,0.3,No
41,Sales,2.5,3,2,45500,1,No,23.1,4,1.1,4.6,Yes
43,Research & Development,1.7,1,3,57300,1,No,8.3,2,6.4,0.4,No
57,Research & Development,0.0,4,3,91100,3,Yes,22.1,3,3.3,0.4,No
37,Sales,10.0,1,3,46400,3,No,16.7,3,15.9,5.1,Yes
36,Research & Development,10.2,1,1,83400,1,Yes,17.4,3,2.4,4.7,Yes
48,Research & Development,6.0,1,4,65900,3,No,20.9,3,2.6,1.0,No
23,Sales,2.6,4,2,37500,2,No,22.9,3,0.3,0.0,No
35,Research & Development,0.8,4,3,25800,5,Yes,13.1,3,4.2,1.1,No
34,Research & Development,7.5,3,4,52200,1,No,8.8,2,2.4,2.2,No
22,Research & Development,1.8,3,3,40600,2,No,18.0,3,2.6,1.1,No
58,Human Resources,24.3,3,4,30700,3,No,18.1,4,0.2,0.0,No
37,Research & Development,12.8,4,3,40900,1,Yes,14.7,2,5.1,5.3,Yes
50,Research & Development,5.3,2,4,34200,4,No,9.4,3,6.8,1.7,No
25,Research & Development,1.3,2,4,27500,2,Yes,10.4,4,2.2,3.1,No
30,Research & Development,22.1,3,2,33300,3,Yes,19.6,3,7.3,0.3,No
32,Sales,8.7,2,4,53200,3,Yes,10.0,3,2.6,0.3,Yes
29,Sales,9.8,1,2,22300,1,No,11.3,4,11.1,0.1,No
48,Research & Development,0.6,1,3,54900,5,Yes,15.3,3,11.4,4.1,No
48,Sales,2.0,2,3,52500,1,Yes,12.2,4,10.7,5.3,No
30,Sales,0.6,2,4,22800,2,Yes,12.0,4,13.0,9.5,Yes
54,Sales,14.1,2,3,49300,2,No,24.7,4,23.6,4.2,No
50,Research & Development,2.3,3,3,37800,2,Yes,17.6,2,14.5,4.5,No
35,Research & Development,0.2,2,1,98100,0,No,19.5,4,3.7,3.4,No
40,Research & Development,1.4,3,3,99500,3,Yes,16.8,3,1.0,1.2,No
32,Research & Development,4.1,2,2,37500,4,Yes,22.8,2,8.8,9.4,Yes
31,Sales,8.5,2,2,34100,1,No,18.8,4,1.2,1.1,No
49,Research & Development,7.3,2,3,42700,1,No,16.7,3,0.5,0.0,No
51,Sales,15.4,3,3,41900,2,No,11.4,2,6.4,2.2,No
29,Research & Development,32.7,1,3,26600,4,No,17.8,3,2.8,0.4,Yes
27,Research & Development,3.0,1,1,82400,1,Yes,12.7,1,0.4,0.0,No
23,Sales,12.1,2,4,40000,3,Yes,15.7,3,9.1,5.9,Yes
39,Sales,5.5,3,4,48000,6,No,12.9,3,0.6,0.0,No
28,Human Resources,0.5,3,4,43500,3,Yes,15.7,3,1.6,1.2,No
49,Research & Development,0.7,2,2,50600,1,No,12.1,3,2.5,3.4,Yes
36,Sales,3.2,2,3,51900,3,Yes,13.6,3,12.5,0.3,No
44,Sales,17.6,1,3,23000,4,No,18.2,3,0.6,0.0,No
43,Research & Development,22.9,2,3,47800,5,No,24.4,2,13.6,3.9,No
40,Sales,21.5,3,2,37000,2,No,18.5,4,9.3,4.4,Yes
33,Human Resources,14.2,4,2,36700,5,No,25.0,3,0.6,0.0,No
32,Sales,0.2,3,1,20000,1,Yes,13.4,4,23.2,8.1,No
