Age,Income,CreditScore,AccountAgeMonths,NumTransactions,AvgTransactionAmount,CustomerTier,Region,Feedback,SignupDate,Target,IsDrifted
32.9,128.12,684.1,8.4,17,15.56,Bronze,West,Good,2020-10-22,1,0
12.1,222.85,607.0,2.5,15,44.59,Bronze,East,Good,2021-08-01,1,0
47.6,351.57,709.1,0.8,13,24.5,Gold,North,Average,2021-05-31,1,0
55.4,68.94,678.6,6.4,18,12.91,Silver,East,Good,2020-03-09,0,0
19.8,62.61,738.1,0.7,9,23.81,Gold,East,Good,2022-10-04,1,0
62.6,201.79,779.7,13.6,22,13.34,Bronze,West,Poor,2023-04-20,1,0
21.0,210.46,660.2,7.8,16,34.08,Silver,West,Poor,2023-05-18,1,0
37.7,108.61,640.3,0.2,13,25.07,Bronze,North,Good,2022-12-08,1,0
70.9,93.27,700.7,1.2,21,19.7,Bronze,North,Good,2023-12-18,0,0
21.6,,779.6,0.5,13,19.8,Gold,South,Poor,2020-06-10,1,0
38.9,91.65,664.8,5.6,19,11.22,Silver,North,Good,2020-04-05,0,0
19.7,52.44,711.5,6.7,20,11.33,Gold,East,Average,2022-03-25,1,0
54.2,60.22,747.5,1.2,9,15.05,Platinum,South,Good,2023-02-12,1,0
47.4,43.81,647.8,11.5,17,16.81,Gold,East,Poor,2020-02-10,1,0
43.1,162.33,783.3,1.0,21,45.22,Bronze,East,Good,2022-10-16,0,0
49.9,83.53,737.4,14.9,14,66.74,Bronze,South,Good,2022-01-20,1,0
,,682.4,0.4,18,24.39,Silver,South,Good,2020-05-10,1,0
36.3,60.62,733.2,3.7,9,45.07,Gold,East,Average,2021-01-08,1,0
36.6,96.86,684.5,4.4,15,22.03,Bronze,East,Good,2022-04-06,0,0
51.3,66.05,704.8,1.3,10,13.88,Silver,South,Average,2020-12-29,0,0
41.7,251.68,750.5,2.7,14,17.17,Bronze,North,Good,2021-04-21,1,0
30.3,79.8,714.3,6.6,18,3.79,Bronze,West,Good,2021-02-02,1,0
51.8,79.17,697.5,4.8,12,34.46,Silver,East,Average,2023-09-15,1,0
45.6,122.11,637.5,3.7,16,31.73,Bronze,East,Good,2023-03-14,1,0
68.3,158.02,658.0,10.5,12,22.91,Gold,West,Poor,2021-06-04,1,0
37.2,95.71,727.6,0.6,15,20.72,Silver,East,Average,2023-08-05,0,0
44.9,138.24,725.1,5.7,16,39.88,Bronze,West,Poor,2022-11-20,0,0
44.4,71.09,701.4,0.0,12,55.86,Platinum,East,Good,2021-11-30,1,0
39.4,73.85,682.4,1.0,11,48.71,Platinum,North,Average,2021-02-04,1,0
44.4,65.66,693.4,7.4,17,3.94,Bronze,West,Good,2021-01-31,0,0
45.6,127.32,675.8,10.1,25,15.12,Gold,West,Poor,2020-03-24,1,0
37.1,111.19,637.4,10.0,11,63.75,Gold,West,Poor,2020-07-17,1,0
55.0,120.89,648.5,0.7,17,19.3,Bronze,South,Good,2022-10-10,1,0
38.6,44.4,653.1,18.4,18,73.34,Gold,West,Poor,2022-02-17,1,0
40.0,44.92,775.2,4.1,15,40.52,Bronze,North,Good,2022-07-06,1,0
44.2,97.48,785.1,4.7,23,60.73,Gold,East,Good,2021-04-03,0,0
44.8,333.45,681.5,0.3,12,23.66,Gold,North,Poor,2023-10-11,1,0
24.3,184.76,675.5,0.4,14,238.71,Silver,North,Poor,2022-05-11,0,0
50.5,142.72,855.2,3.6,16,26.52,Bronze,East,Average,2022-07-20,1,0
46.4,42.42,768.8,0.7,11,37.4,Platinum,North,Poor,2022-10-01,1,0
61.7,153.06,713.4,1.9,14,11.35,Bronze,East,Average,2020-10-27,1,0
32.9,27.9,655.7,3.0,12,28.2,Bronze,East,Good,2023-05-12,0,0
36.4,113.05,683.7,0.3,5,12.93,Silver,West,Good,2022-10-05,1,0
21.5,121.76,593.9,3.8,10,25.39,Bronze,West,Average,2022-10-28,0,0
37.7,102.56,743.5,14.5,17,29.86,Silver,West,Average,2021-08-10,1,0
50.1,267.53,650.5,4.6,13,14.13,Platinum,West,Good,2023-03-28,1,0
52.6,126.72,736.1,2.9,19,33.39,Silver,North,Good,2023-01-04,1,0
52.8,346.43,684.8,4.4,11,19.54,Gold,East,Average,2020-11-23,1,0
23.3,33.54,751.1,4.7,21,141.43,Platinum,North,Poor,2021-04-14,1,0
46.3,101.91,822.8,0.5,18,43.95,Platinum,West,Average,2023-07-10,1,0
41.9,51.3,769.9,4.0,24,18.91,Gold,West,Good,2021-06-04,1,0
43.8,222.69,657.1,6.6,10,8.61,Bronze,North,Poor,2021-11-03,1,0
51.6,339.11,672.1,4.5,10,6.71,Silver,South,Average,2021-04-03,0,0
20.5,126.22,645.0,2.2,8,11.37,Bronze,West,Good,2020-05-28,1,0
23.7,80.36,692.8,2.3,13,13.16,Bronze,West,Average,2023-08-19,1,0
31.2,188.98,754.6,13.1,12,32.7,Bronze,West,Poor,2020-12-29,1,0
45.1,110.1,707.8,0.9,7,144.4,Bronze,South,Good,2022-02-08,0,0
65.9,45.66,741.8,3.4,14,20.59,Gold,West,Average,2022-08-05,0,0
48.5,96.75,663.9,1.9,16,164.58,Gold,West,Good,2021-04-27,1,0
40.7,123.69,696.5,1.9,15,29.64,Bronze,East,Good,2020-09-10,0,0
33.2,62.74,782.0,4.8,12,18.55,Bronze,North,Average,2022-06-01,1,0
31.2,57.63,670.4,5.3,19,13.38,Silver,South,Average,2022-09-08,0,0
33.1,19.02,672.7,3.8,11,27.48,Bronze,West,Poor,2020-06-21,1,0
19.1,89.75,680.5,5.3,19,31.28,Gold,South,Poor,2021-09-16,0,0
20.8,70.52,695.6,5.1,17,41.98,Bronze,East,Good,2023-12-10,0,0
49.5,188.04,693.8,0.2,15,21.66,Silver,West,Poor,2023-05-19,1,0
54.2,138.57,749.8,4.9,14,10.96,Bronze,East,Average,2020-06-17,0,0
39.1,47.46,698.2,12.6,15,8.92,Bronze,North,Good,2023-11-26,1,0
47.0,98.36,675.8,1.1,12,15.41,Gold,West,Poor,2020-05-28,0,0
48.0,182.01,709.1,20.9,23,7.12,Bronze,North,Average,2020-10-09,0,0
57.7,,733.0,0.6,10,63.32,Silver,West,Good,2020-05-15,0,0
55.5,69.85,713.0,6.6,16,6.55,Bronze,West,Average,2021-08-20,0,0
,145.28,756.3,9.2,15,37.61,Bronze,South,Average,2021-06-19,1,0
35.3,70.31,627.8,10.4,15,5.32,Bronze,North,Average,2022-02-04,1,0
53.1,38.38,722.8,6.9,19,10.44,Bronze,North,Average,2021-04-25,1,0
27.7,273.82,761.1,0.6,14,32.0,Bronze,East,Average,2021-05-14,1,0
33.7,143.0,605.2,14.1,12,23.02,Gold,West,Good,2020-02-18,1,0
41.2,98.26,676.8,2.5,22,15.23,Bronze,South,Good,2023-09-27,1,0
51.0,55.59,774.6,0.3,15,16.17,Bronze,West,Good,2020-07-14,1,0
44.2,248.13,758.0,7.7,16,14.86,Platinum,North,Average,2022-09-10,1,0
32.7,239.27,713.2,3.9,14,12.52,Gold,East,Average,2020-07-16,1,0
37.6,82.68,693.8,6.9,12,49.18,Bronze,South,Poor,2020-08-30,0,0
53.9,56.77,627.7,10.5,12,21.67,Platinum,West,Good,2023-07-01,1,0
30.4,25.08,659.3,2.9,11,17.04,Bronze,South,Average,2021-04-29,0,0
25.4,96.61,749.1,1.9,10,33.96,Bronze,West,Average,2021-09-04,1,0
40.3,210.05,696.0,20.7,17,28.84,Bronze,West,Good,2020-09-03,1,0
34.0,125.87,714.7,2.1,17,18.92,Bronze,West,Poor,2022-09-12,1,0
50.3,81.34,660.8,4.8,14,32.68,Gold,West,Poor,2022-07-19,1,0
45.6,49.21,688.8,10.1,11,12.49,Bronze,West,Good,2021-04-04,1,0
50.3,,622.0,1.3,14,6.41,Silver,West,Good,2020-10-07,1,0
46.5,153.06,,4.9,15,104.11,Silver,North,Good,2021-11-06,1,0
49.6,34.13,647.3,6.8,16,8.55,Bronze,North,Good,2022-05-30,1,0
62.3,150.74,659.6,3.4,18,11.33,Bronze,West,Good,2021-04-24,0,0
57.7,72.88,744.3,2.9,16,24.14,Silver,East,Good,2024-01-18,1,0
29.2,51.49,717.7,1.6,14,19.77,Bronze,North,Average,2020-10-09,1,0
23.1,85.64,624.8,1.2,15,36.89,Bronze,North,Good,2022-06-10,1,0
33.9,84.01,741.5,1.7,19,12.61,Gold,East,Good,2022-02-17,1,0
57.8,58.81,717.2,1.5,17,37.16,Gold,West,Average,2023-03-22,0,0
59.3,154.18,686.6,3.0,13,9.85,Silver,West,Good,2023-11-02,1,0
49.7,108.11,,0.7,9,154.08,Bronze,East,Average,2021-01-21,0,0
38.5,29.1,672.6,0.7,16,21.63,Gold,East,Poor,2024-01-01,0,0
43.1,169.14,671.9,3.0,16,6.94,Bronze,West,Good,2023-02-15,0,0
26.7,79.13,684.6,0.8,17,37.48,Bronze,South,Good,2021-07-29,0,0
62.7,68.22,697.7,0.1,14,8.03,Bronze,South,Good,2020-09-18,0,0
48.4,73.68,758.7,20.7,14,27.0,Bronze,East,Good,2020-10-31,1,0
52.7,68.0,657.0,3.5,17,31.36,Gold,East,Good,2023-07-27,0,0
48.5,150.36,647.6,7.9,14,7.68,Bronze,West,Average,2020-03-04,1,0
31.9,94.2,681.9,0.2,15,96.96,Gold,South,Good,2023-06-05,1,0
14.4,591.49,,19.7,14,24.01,Gold,East,Poor,2022-12-07,1,0
27.7,55.89,644.9,0.2,27,10.18,Gold,West,Poor,2021-11-13,0,0
33.7,165.42,710.6,7.9,13,79.9,Bronze,North,Poor,2020-07-06,1,0
39.7,53.03,691.8,2.6,8,11.07,Bronze,West,Poor,2023-08-06,1,0
38.4,34.1,722.4,5.5,14,10.97,Bronze,South,Good,2023-06-08,0,0
20.2,185.28,657.3,11.0,15,26.26,Silver,East,Good,2020-06-08,1,0
46.3,31.72,665.2,0.9,20,69.8,Gold,South,Good,2024-01-04,1,0
36.1,98.8,741.3,1.9,9,10.04,Bronze,West,Good,2021-09-03,0,0
42.2,118.66,736.9,9.3,17,21.95,Bronze,West,Good,2021-06-06,0,0
47.4,185.37,693.0,15.7,15,14.01,Silver,North,Good,2023-06-13,1,0
59.5,61.99,746.7,6.6,17,15.48,Gold,North,Good,2022-02-14,1,0
58.6,57.01,709.6,1.7,13,17.84,Bronze,East,Good,2020-02-22,0,0
42.1,94.58,733.0,1.6,18,16.11,Bronze,North,Good,2020-06-23,0,0
51.8,57.67,591.9,2.3,20,24.64,Gold,West,Average,2024-01-19,1,0
41.8,131.82,664.7,5.6,12,19.41,Silver,East,Average,2020-10-04,1,0
55.4,125.79,644.4,8.3,17,24.46,Silver,South,Good,2021-07-17,1,0
53.4,175.63,699.8,1.3,6,37.28,Bronze,West,Good,2023-02-19,0,0
66.3,28.88,671.8,0.9,14,18.79,Bronze,West,Poor,2020-11-28,0,0
39.6,353.19,727.3,3.7,11,18.35,Platinum,North,Good,2020-06-02,1,0
,232.74,,7.4,13,15.58,Silver,West,Poor,2022-01-23,1,0
47.4,79.48,,1.3,13,7.28,Gold,North,Good,2022-06-07,1,0
39.9,130.19,554.9,5.0,9,99.51,Bronze,South,Good,2022-11-06,0,0
25.5,139.55,700.7,1.2,5,9.36,Bronze,West,Good,2022-01-02,1,0
51.1,67.75,689.1,11.7,20,8.26,Gold,West,Poor,2022-01-23,1,0
35.6,117.49,700.6,2.6,13,35.44,Gold,East,Good,2021-03-08,1,0
44.2,67.2,666.2,18.1,11,20.64,Bronze,North,Good,2022-04-23,1,0
19.3,59.95,759.7,8.5,11,9.16,Platinum,West,Poor,2021-05-18,1,0
58.0,66.5,612.6,5.0,15,22.34,Platinum,East,Good,2022-05-18,1,0
53.0,163.58,740.8,5.9,12,18.93,Bronze,South,Good,2023-08-24,1,0
59.6,24.88,690.9,3.5,14,4.17,Bronze,West,Good,2020-03-18,0,0
50.7,127.12,725.0,0.3,15,20.9,Gold,North,Poor,2021-10-20,1,0
26.6,49.05,718.8,8.0,12,38.39,Silver,West,Poor,2023-05-18,1,0
25.3,69.35,733.8,2.8,20,18.0,Bronze,South,Good,2020-01-19,0,0
33.3,110.39,733.6,4.6,29,34.09,Silver,West,Average,2023-01-10,1,0
30.1,60.48,612.6,1.7,16,18.13,Bronze,West,Good,2022-08-07,0,0
56.5,159.68,750.4,3.0,17,4.04,Silver,North,Good,2024-01-15,0,0
46.6,110.43,719.5,6.0,17,6.95,Bronze,East,Good,2023-04-02,0,0
30.0,136.8,,6.8,13,108.26,Bronze,West,Poor,2021-10-05,1,0
58.8,195.24,740.4,0.5,18,9.22,Bronze,North,Good,2022-08-01,0,0
59.1,239.97,626.1,10.8,14,8.12,Bronze,West,Good,2022-05-19,1,0
48.2,79.39,753.6,1.6,13,133.1,Silver,West,Good,2021-03-20,0,0
26.2,96.37,680.2,3.5,19,61.39,Bronze,East,Good,2022-05-24,1,0
61.0,,665.0,0.9,8,13.55,Silver,West,Poor,2022-03-13,0,0
20.5,111.28,686.4,10.3,19,22.75,Gold,West,Average,2023-04-15,1,0
52.8,24.92,630.0,9.8,17,20.32,Gold,East,Good,2021-12-26,1,0
37.3,21.21,779.7,9.9,15,13.83,Bronze,East,Good,2021-09-29,1,0
37.4,74.81,821.3,1.4,7,28.4,Bronze,North,Poor,2020-12-28,0,0
53.0,169.55,700.0,2.7,20,7.12,Silver,North,Average,2022-04-11,0,0
,69.76,754.6,15.1,18,35.61,Gold,East,Good,2021-06-24,1,0
43.4,258.57,,9.3,15,27.42,Gold,South,Good,2022-08-19,1,0
29.2,60.11,698.7,1.0,14,12.55,Platinum,North,Poor,2020-11-18,1,0
32.7,23.97,744.9,6.2,17,55.7,Bronze,West,Average,2021-12-19,1,0
14.0,108.07,756.3,0.1,11,37.29,Bronze,East,Good,2022-07-13,1,0
46.4,115.28,779.5,1.8,14,24.66,Bronze,East,Good,2023-06-14,1,0
29.1,223.98,725.5,8.0,12,45.81,Bronze,West,Average,2023-02-26,1,0
52.5,121.27,692.2,20.5,18,57.21,Bronze,South,Good,2022-06-11,0,0
,181.05,733.5,27.8,12,15.9,Bronze,North,Poor,2020-10-25,1,0
69.4,44.44,646.2,16.2,14,7.94,Bronze,South,Good,2023-12-09,0,0
44.6,173.22,800.6,10.0,16,45.56,Platinum,West,Good,2020-03-14,1,0
22.2,38.9,775.8,3.2,14,59.2,Gold,South,Poor,2022-11-03,1,0
46.7,81.76,700.1,5.9,17,7.23,Bronze,North,Average,2023-07-07,1,0
47.6,86.48,708.5,0.1,11,14.58,Silver,East,Poor,2023-03-25,1,0
44.6,79.62,787.8,2.2,7,70.7,Silver,North,Average,2021-09-19,1,0
54.6,66.55,669.8,5.9,16,12.07,Platinum,West,Good,2021-01-14,1,0
32.0,80.91,667.0,3.2,12,11.43,Bronze,North,Poor,2021-08-06,1,0
27.8,57.01,680.9,2.2,17,12.63,Bronze,West,Good,2020-06-14,0,0
46.9,30.83,682.0,4.3,15,25.56,Silver,South,Good,2023-03-14,1,0
29.6,39.25,673.0,4.0,11,8.38,Bronze,East,Average,2020-02-09,1,0
0.1,37.29,678.8,9.8,14,46.0,Silver,West,Good,2022-05-26,0,0
66.6,81.82,714.8,2.3,17,5.97,Silver,North,Good,2023-12-06,0,0
58.7,305.22,762.3,1.5,13,12.81,Silver,South,Poor,2023-02-24,1,0
43.6,112.75,767.7,0.8,14,34.85,Bronze,South,Poor,2020-04-18,0,0
48.9,163.91,768.6,3.6,13,32.65,Silver,East,Average,2022-04-28,1,0
32.2,90.12,702.8,2.9,19,13.33,Bronze,South,Good,2020-05-19,0,0
35.0,45.69,677.5,6.9,10,54.91,Bronze,East,Average,2023-12-01,0,0
30.0,82.8,669.2,1.7,13,5.4,Bronze,East,Average,2022-10-26,0,0
44.0,123.97,651.9,16.5,17,9.16,Platinum,South,Good,2022-03-06,1,0
34.4,45.02,645.2,17.2,14,25.5,Bronze,South,Average,2023-07-29,1,0
37.7,218.6,680.3,6.3,20,31.83,Gold,South,Good,2021-01-02,1,0
54.7,77.07,717.6,3.8,12,12.73,Bronze,East,Good,2022-02-27,0,0
29.1,100.79,703.3,6.0,14,47.54,Platinum,North,Good,2020-07-10,1,0
41.8,59.88,721.2,0.5,11,106.12,Bronze,West,Poor,2021-08-28,1,0
35.0,279.39,727.8,1.5,16,6.9,Gold,West,Good,2023-05-16,1,0
39.2,,761.7,1.3,14,19.07,Gold,South,Good,2023-06-22,1,0
62.0,38.14,691.2,1.4,17,27.84,Bronze,West,Poor,2022-06-21,0,0
33.0,102.98,735.7,2.6,16,3.9,Bronze,North,Good,2023-03-10,1,0
45.6,31.41,678.1,3.7,17,13.06,Bronze,West,Good,2022-08-19,0,0
24.8,250.01,710.1,5.7,14,74.11,Gold,North,Poor,2021-05-08,1,0
43.7,34.21,725.0,1.2,20,16.05,Gold,East,Average,2022-08-16,1,0
56.2,67.72,703.7,5.4,17,15.35,Platinum,North,Average,2023-04-13,1,0
42.2,47.8,769.5,6.4,17,16.18,Gold,North,Good,2020-02-17,1,0
45.9,72.62,693.0,0.3,14,36.3,Silver,North,Average,2021-03-06,1,0
69.1,196.41,672.0,3.6,11,27.27,Silver,North,Good,2021-04-09,1,0
16.2,62.43,733.9,0.3,15,10.8,Bronze,South,Average,2021-04-05,0,0
34.5,59.34,642.3,5.7,7,4.95,Bronze,East,Good,2022-04-09,0,0
50.3,110.42,678.1,3.9,9,26.68,Silver,East,Good,2022-09-15,0,0
54.9,,813.3,21.1,18,22.05,Silver,East,Average,2020-05-23,1,0
46.7,386.67,690.2,3.4,11,5.31,Gold,West,Average,2023-02-05,1,0
48.2,87.07,758.0,5.3,12,7.28,Bronze,North,Average,2023-07-30,0,0
35.0,26.7,646.5,4.0,11,92.68,Silver,West,Good,2021-06-07,0,0
54.6,99.51,713.2,9.9,16,15.46,Gold,East,Average,2021-10-24,1,0
54.6,254.91,758.3,4.1,13,7.42,Bronze,West,Poor,2021-09-01,1,0
47.6,73.97,642.4,0.5,16,23.16,Bronze,East,Poor,2021-12-31,1,0
57.0,20.23,763.8,2.0,13,26.32,Silver,East,Good,2022-08-04,1,0
21.1,119.42,683.8,26.2,9,58.21,Silver,West,Good,2020-04-20,1,0
70.7,61.23,657.3,0.3,9,21.5,Silver,North,Average,2021-02-14,0,0
60.3,173.06,644.8,11.2,18,22.39,Platinum,East,Average,2021-12-20,1,0
28.4,239.15,685.8,2.7,22,71.7,Bronze,East,Poor,2021-06-21,1,0
40.0,58.37,715.4,0.0,16,19.6,Silver,South,Good,2020-08-04,0,0
69.3,65.02,610.2,2.1,10,66.18,Bronze,East,Good,2021-12-30,1,0
36.0,66.12,713.6,5.7,16,4.54,Bronze,West,Average,2023-04-25,1,0
43.3,12.14,668.8,7.8,21,8.96,Bronze,North,Average,2021-01-17,0,0
38.8,,831.7,13.7,17,30.73,Gold,West,Good,2022-06-23,1,0
54.3,34.46,689.0,3.1,19,16.25,Silver,North,Good,2023-01-26,0,0
45.6,201.89,726.1,3.9,16,18.57,Silver,East,Good,2021-02-19,1,0
13.9,140.47,721.6,1.4,16,12.08,Gold,West,Poor,2021-06-03,1,0
41.5,57.93,750.7,4.1,25,23.14,Bronze,North,Good,2023-12-02,0,0
,27.95,732.3,5.7,11,36.45,Silver,East,Good,2023-04-28,1,0
53.8,206.81,684.9,2.7,11,2.5,Platinum,East,Average,2023-12-26,1,0
24.9,122.05,653.3,2.0,18,23.79,Silver,East,Poor,2022-09-25,1,0
21.7,32.42,670.1,6.6,14,47.58,Gold,West,Poor,2023-04-15,0,0
52.4,226.17,666.6,5.0,16,21.82,Bronze,South,Good,2021-09-18,1,0
58.0,274.41,694.8,4.0,16,7.45,Gold,North,Good,2022-12-09,1,0
24.4,71.92,645.1,2.9,13,20.72,Bronze,East,Good,2020-02-27,1,0
40.8,72.53,655.4,4.9,16,19.12,Silver,West,Good,2021-03-04,1,0
54.1,120.39,623.3,1.5,13,39.29,Bronze,West,Good,2020-12-10,0,0
40.9,41.43,665.2,2.6,19,9.64,Silver,East,Average,2023-11-12,1,0
52.8,126.14,703.1,0.1,18,21.32,Bronze,East,Good,2022-02-06,0,0
40.0,179.53,643.4,7.1,18,36.87,Silver,North,Poor,2023-03-20,1,0
34.7,52.35,696.3,5.0,18,29.62,Bronze,North,Good,2020-11-20,1,0
41.3,94.2,767.1,11.4,20,11.54,Platinum,South,Good,2023-03-13,1,0
43.1,102.27,739.1,9.7,18,14.23,Silver,West,Average,2024-01-02,1,0
51.9,62.23,693.6,5.4,23,26.38,Gold,North,Average,2020-07-09,1,0
49.5,69.72,727.0,5.1,14,43.93,Bronze,South,Average,2020-08-11,0,0
45.4,102.68,678.4,0.7,16,10.67,Bronze,North,Good,2021-07-15,0,0
52.0,58.1,648.9,0.1,13,15.76,Bronze,East,Good,2022-02-03,0,0
52.9,82.66,586.3,2.6,10,110.83,Bronze,West,Average,2022-05-11,0,0
34.5,81.81,681.5,1.2,11,6.83,Bronze,East,Poor,2020-04-06,0,0
50.4,164.17,738.5,12.5,9,10.42,Gold,South,Average,2024-01-03,1,0
53.7,91.54,689.4,22.5,18,66.91,Silver,West,Poor,2020-12-28,1,0
23.9,99.07,666.1,1.3,13,18.38,Platinum,West,Average,2021-07-07,1,0
27.5,44.55,723.2,0.7,17,12.93,Bronze,West,Good,2022-03-30,0,0
32.4,115.79,660.3,1.2,15,2.18,Gold,West,Average,2020-04-17,1,0
45.9,53.47,674.4,3.5,17,9.79,Silver,North,Good,2020-02-14,1,0
49.6,117.97,717.5,3.5,19,11.91,Silver,South,Good,2020-03-19,1,0
48.6,124.63,723.6,8.6,16,23.92,Platinum,East,Poor,2021-10-31,1,0
30.6,48.67,759.2,6.0,13,76.64,Bronze,South,Poor,2020-05-09,1,0
31.3,82.38,,6.5,13,24.31,Bronze,East,Good,2021-08-31,1,0
,58.14,716.0,10.8,16,75.41,Bronze,North,Poor,2023-01-10,1,0
72.1,93.58,668.9,1.9,15,21.94,Gold,North,Good,2023-03-23,1,0
48.4,77.34,775.7,8.4,13,27.62,Gold,South,Average,2022-12-05,1,0
38.5,63.98,672.3,6.9,13,94.82,Bronze,East,Average,2020-03-30,0,0
40.9,50.38,,8.2,13,6.19,Silver,East,Average,2022-01-17,1,0
51.5,118.81,641.0,6.5,16,23.05,Gold,West,Average,2021-11-04,0,0
21.2,166.59,712.1,4.4,8,6.84,Silver,South,Poor,2021-08-03,1,0
47.6,29.19,720.5,2.9,22,40.62,Bronze,North,Average,2022-08-20,1,0
35.2,46.46,717.4,6.5,16,21.53,Silver,East,Average,2022-04-20,1,0
32.9,142.3,672.2,3.5,19,58.24,Bronze,West,Good,2022-06-23,1,0
47.2,78.31,701.5,6.7,15,16.18,Platinum,East,Average,2023-11-06,1,0
54.3,82.32,683.9,8.8,15,13.38,Silver,South,Good,2021-07-29,1,0
59.0,37.76,680.7,5.3,13,41.48,Gold,North,Good,2020-06-25,0,0
27.2,163.55,663.6,3.3,18,112.03,Bronze,West,Good,2020-02-26,1,0
41.0,36.16,713.2,11.8,18,14.4,Gold,East,Good,2020-10-08,0,0
34.5,115.22,631.4,6.4,12,22.94,Gold,South,Average,2022-07-12,1,0
21.5,82.52,677.7,2.0,15,21.99,Platinum,North,Good,2023-03-13,1,0
21.9,52.48,700.3,2.6,17,12.86,Bronze,West,Good,2021-09-06,0,0
29.1,43.33,750.9,13.3,11,37.2,Gold,North,Good,2020-11-02,1,0
27.9,32.28,732.6,5.1,15,6.99,Bronze,East,Good,2023-07-02,1,0
37.1,28.96,677.3,2.6,7,8.74,Gold,North,Average,2020-10-20,0,0
41.4,86.47,714.5,3.5,18,15.05,Silver,West,Good,2021-04-18,1,0
11.7,66.09,661.7,4.0,14,19.54,Bronze,West,Average,2020-07-25,0,0
45.3,163.66,642.4,3.6,11,27.85,Bronze,South,Poor,2020-02-24,0,0
61.8,73.28,713.9,1.7,11,13.36,Bronze,West,Good,2021-04-23,0,0
